'Elapsed time','ECG'
'0:09.203',-0.515
'0:09.211',-0.515
'0:09.219',-0.565
'0:09.227',-0.555
'0:09.234',-0.445
'0:09.242',-0.235
'0:09.250',-0.135
'0:09.258',-0.145
'0:09.266',-0.155
'0:09.273',-0.125
'0:09.281',-0.135
'0:09.289',-0.125
'0:09.297',-0.125
'0:09.305',-0.125
'0:09.313',-0.105
'0:09.320',-0.095
'0:09.328',-0.125
'0:09.336',-0.105
'0:09.344',-0.095
'0:09.352',-0.095
'0:09.359',-0.095
'0:09.367',-0.095
'0:09.375',-0.095
'0:09.383',-0.055
'0:09.391',-0.075
'0:09.398',-0.065
'0:09.406',-0.045
'0:09.414',-0.045
'0:09.422',-0.025
'0:09.430',-0.025
'0:09.438',-0.015
'0:09.445',-0.005
'0:09.453',0.015
'0:09.461',0.055
'0:09.469',0.095
'0:09.477',0.125
'0:09.484',0.155
'0:09.492',0.195
'0:09.500',0.215
'0:09.508',0.235
'0:09.516',0.245
'0:09.523',0.275
'0:09.531',0.275
'0:09.539',0.255
'0:09.547',0.215
'0:09.555',0.165
'0:09.563',0.105
'0:09.570',0.035
'0:09.578',-0.025
'0:09.586',-0.055
'0:09.594',-0.105
'0:09.602',-0.125
'0:09.609',-0.135
'0:09.617',-0.135
'0:09.625',-0.155
'0:09.633',-0.145
'0:09.641',-0.175
'0:09.648',-0.165
'0:09.656',-0.155
'0:09.664',-0.185
'0:09.672',-0.155
'0:09.680',-0.135
'0:09.688',-0.125
'0:09.695',-0.145
'0:09.703',-0.145
'0:09.711',-0.135
'0:09.719',-0.125
'0:09.727',-0.135
'0:09.734',-0.115
'0:09.742',-0.095
'0:09.750',-0.105
'0:09.758',-0.105
'0:09.766',-0.105
'0:09.773',-0.105
'0:09.781',-0.095
'0:09.789',-0.115
'0:09.797',-0.085
'0:09.805',-0.085
'0:09.813',-0.105
'0:09.820',-0.095
'0:09.828',-0.105
'0:09.836',-0.105
'0:09.844',-0.105
'0:09.852',-0.115
'0:09.859',-0.115
'0:09.867',-0.105
'0:09.875',-0.115
'0:09.883',-0.115
'0:09.891',-0.115
'0:09.898',-0.115
'0:09.906',-0.105
'0:09.914',-0.115
'0:09.922',-0.105
'0:09.930',-0.105
'0:09.938',-0.105
'0:09.945',-0.105
'0:09.953',-0.115
'0:09.961',-0.105
'0:09.969',-0.115
'0:09.977',-0.075
'0:09.984',-0.085
'0:09.992',-0.105
